station|id|cn_snowdepth|cn_temperature
kralovka|29766|3|4
rybnik|29768|3|4
pernink|29761|3|4
zakouti|29762|3|4
kepelskezhuri|29775|1|2
zlatystolecek|29774|1|2
javoripila|29760|3|4
tesliny|29763|3|4
brdypraha|29772|1|2
vetrin|29773|1|2
spalenec|29765|3|4
starehute|29764|3|0
sumrakov|29756|2|3
polanka|29769|0|4
hanapetrovapaseka|29750|2|3
jablonecnadjizerou|29770|1|2
kozakov|29771|1|2
heralec|29751|2|3
luisinoudoli|29759|2|3
klepacov|29757|2|3
benesky|29758|2|3
zitkova|29767|3|4
